P	x1	T	y1	K1	K2	Gamma1	Gamma2
1,5	0,3	349,1613	0,5087615	1,695872	0,7017692	1,646968	1,095048
1,5	0,35	348,41852	0,5400298	1,542942	0,7076464	1,539693	1,131929
1,5	0,4	347,83689	0,5673537	1,418384	0,7210772	1,445946	1,176123
1,5	0,45	347,37784	0,5921241	1,315831	0,7415926	1,364276	1,228411
1,5	0,5	347,01501	0,6154257	1,230852	0,7691483	1,293386	1,289749
1,5	0,55	346,73116	0,6381747	1,160317	0,8040565	1,232146	1,36129
1,5	0,6	346,51644	0,6612125	1,102021	0,8469691	1,179594	1,444412
1,5	0,65	346,36746	0,6853843	1,054437	0,8989022	1,13492	1,540744
1,5	0,7	346,28702	0,7116101	1,016586	0,9612991	1,097454	1,6522
1,5	0,75	346,28433	0,7409648	0,987953	1,036141	1,06665	1,780994
1,5	0,8	346,37581	0,7747762	0,9684703	1,126119	1,042068	1,929654
1,5	0,85	346,58643	0,8147654	0,9585475	1,234898	1,023361	2,10099
1,5	0,9	346,95178	0,8632484	0,9591649	1,367516	1,010256	2,298029
1,5	0,95	347,52104	0,9234497	0,9720523	1,531006	1,002532	2,523831
1,5	1	348,361	1	1	1,735358	1	2,781173
2	0	373,01013	0	4,412602	0,9999996	2,548551	1
2	0,05	368,04136	0,174824	3,49648	0,8686063	2,366386	1,002308
2	0,1	364,59494	0,2891023	2,891023	0,7898863	2,190272	1,009433
2	0,15	362,11516	0,3695297	2,463531	0,7417298	2,027227	1,021628
2	0,2	360,28217	0,4294146	2,147073	0,7132318	1,879674	1,039145
2	0,25	358,89855	0,4761085	1,904434	0,698522	1,747855	1,062289
2	0,3	357,8361	0,5140111	1,71337	0,6942698	1,631008	1,091454
2	0,35	357,00847	0,54594	1,559829	0,6985538	1,527968	1,127141
2	0,4	356,35608	0,5738162	1,43454	0,7103064	1,437462	1,169977
2	0,45	355,83734	0,599035	1,331189	0,7290272	1,358254	1,220739
2	0,5	355,42345	0,6226823	1,245365	0,7546352	1,289218	1,280375
2	0,55	355,09517	0,645671	1,173947	0,7873981	1,229356	1,350031
2	0,6	354,841	0,668835	1,114725	0,8279132	1,177809	1,431078
2	0,65	354,65614	0,6930057	1,066162	0,8771269	1,133848	1,525147
2	0,7	354,54216	0,7190821	1,02726	0,9363927	1,09687	1,634158
2	0,75	354,50724	0,7481072	0,9974762	1,007571	1,066379	1,760346
2	0,8	354,56689	0,781362	0,9767025	1,09319	1,041978	1,906282
2	0,85	354,7453	0,8204976	0,9652913	1,196683	1,023357	2,074856
2	0,9	355,07738	0,8677242	0,964138	1,322758	1,010275	2,269219
2	0,95	355,61171	0,9261021	0,9748443	1,477958	1,002543	2,492631
2	1	356,41451	1	0,9999999	1,671531	1	2,748163
2,5	0	381,0867	0	4,413033	0,999999	2,486402	1
2,5	0,05	375,84	0,1752871	3,505741	0,8681189	2,317272	1,002218
2,5	0,1	372,18043	0,2903927	2,903927	0,7884526	2,152036	1,009088
2,5	0,15	369,53318	0,3716755	2,477837	0,7392053	1,997777	1,020875
2,5	0,2	367,56634	0,4323467	2,161733	0,7095666	1,857198	1,037844
2,5	0,25	366,0743	0,4797335	1,918934	0,6936886	1,730855	1,060311
2,5	0,3	364,92302	0,5182345	1,727448	0,6882365	1,618278	1,088671
2,5	0,35	364,02187	0,5506721	1,573349	0,6912737	1,518549	1,123425
2,5	0,4	363,30797	0,5789727	1,447432	0,7017122	1,430594	1,165198
2,5	0,45	362,73719	0,604535	1,343411	0,7190273	1,35334	1,214761
2,5	0,5	362,27865	0,6284454	1,256891	0,743109	1,285785	1,273058
2,5	0,55	361,91145	0,6516145	1,184753	0,7741903	1,227031	1,341225
2,5	0,6	361,62267	0,6748699	1,124783	0,812826	1,1763	1,420628
2,5	0,65	361,40631	0,6990322	1,075434	0,8599087	1,132925	1,512896
2,5	0,7	361,26289	0,7249833	1,03569	0,9167222	1,096351	1,61995
2,5	0,75	361,19968	0,753741	1,004988	0,9850349	1,066124	1,744041
2,5	0,8	361,2314	0,7865504	0,983188	1,067248	1,041881	1,887767
2,5	0,85	361,3815	0,8250071	0,9705966	1,166619	1,023339	2,054073
2,5	0,9	361,68427	0,8712394	0,9680437	1,287606	1,010284	2,246201
2,5	0,95	362,18769	0,9281809	0,9770325	1,436382	1,002549	2,46756
2,5	1	362,95741	1	0,9999999	1,621634	1	2,721443
3	0	388,0054	0	4,416015	1	2,436309	1
3	0,05	382,5117	0,1757432	3,514865	0,8676387	2,27744	1,002146
3	0,1	378,6629	0,2915499	2,915499	0,7871667	2,120836	1,008808
3	0,15	375,8671	0,3735392	2,490261	0,7370127	1,973604	1,020263
3	0,2	373,7814	0,4348536	2,174268	0,706433	1,838642	1,036787
3	0,25	372,19297	0,4828048	1,931219	0,6895936	1,716741	1,058699
3	0,3	370,96254	0,5217917	1,739306	0,6831547	1,607651	1,0864
3	0,35	369,99571	0,5546417	1,58469	0,6851667	1,510641	1,120388
3	0,4	369,22675	0,5832854	1,458213	0,6945244	1,424795	1,161286
3	0,45	368,60926	0,6091244	1,35361	0,7106829	1,349163	1,209862
3	0,5	368,11058	0,6332457	1,266492	0,7335083	1,282846	1,267051
3	0,55	367,70834	0,6565578	1,193741	0,7632055	1,225025	1,333985
3	0,6	367,38835	0,6798827	1,133137	0,8002941	1,174984	1,412024
3	0,65	367,14357	0,7040322	1,083126	0,8456233	1,132109	1,50279
3	0,7	366,9736	0,7298741	1,042677	0,9004198	1,095883	1,608208
3	0,75	366,88489	0,7584055	1,011207	0,9663773	1,065886	1,730535
3	0,8	366,89141	0,790841	0,9885513	1,045795	1,041783	1,872392
3	0,85	367,01598	0,8287316	0,9749784	1,141789	1,023315	2,036763
3	0,9	367,29228	0,8741385	0,971265	1,258615	1,010286	2,226963
3	0,95	367,76771	0,9298924	0,9788342	1,402151	1,002553	2,446514
3	1	368,50735	1	0,9999999	1,580641	1	2,698888
3,5	0	394,094	0	4,420462	1	2,394443	1
3,5	0,05	388,3761	0,1761869	3,523739	0,8671716	2,243978	1,002086
3,5	0,1	384,356	0,2926055	2,926055	0,7859939	2,094493	1,008573
3,5	0,15	381,4256	0,3751977	2,501318	0,7350615	1,953094	1,019749
3,5	0,2	379,2322	0,4370564	2,185282	0,7036794	1,822824	1,035897
3,5	0,25	377,5562	0,4854831	1,941933	0,6860225	1,704655	1,057341
3,5	0,3	376,2538	0,5248785	1,749595	0,6787451	1,598509	1,084482
3,5	0,35	375,2271	0,5580741	1,594497	0,6798861	1,503807	1,11782
3,5	0,4	374,4079	0,5870047	1,467512	0,6883255	1,419759	1,157975
3,5	0,45	373,7477	0,6130744	1,362388	0,7035011	1,345518	1,20571
3,5	0,5	373,2123	0,6373706	1,274741	0,7252587	1,280266	1,261954
3,5	0,55	372,77791	0,6607998	1,201454	0,7537793	1,223253	1,327834
3,5	0,6	372,42929	0,6841795	1,140298	0,7895529	1,173813	1,404703
3,5	0,65	372,15841	0,7083134	1,089712	0,8333917	1,131374	1,494181
3,5	0,7	371,96407	0,7340577	1,048654	0,8864751	1,095455	1,598189
3,5	0,75	371,85195	0,7623916	1,016522	0,9504332	1,065664	1,718991
3,5	0,8	371,83536	0,7945039	0,9931299	1,02748	1,041687	1,859222
3,5	0,85	371,93651	0,8319077	0,978715	1,120615	1,023287	2,021901
3,5	0,9	372,18849	0,8766075	0,9740084	1,233925	1,010285	2,210397
3,5	0,95	372,63818	0,9313479	0,9803662	1,373042	1,002556	2,428327
3,5	1	373,3501	1	0,9999998	1,545845	1	2,67931
4	0	399,5545	0	4,425787	1	2,358543	1
4	0,05	393,6304	0,1766161	3,532321	0,8667199	2,215159	1,002034
4	0,1	389,4527	0,2935798	2,935798	0,7849113	2,071706	1,008371
4	0,15	386,3986	0,3766987	2,511325	0,7332956	1,935279	1,019306
4	0,2	384,1062	0,4390293	2,195146	0,7012134	1,80903	1,035129
4	0,25	382,3496	0,4878664	1,951466	0,6828448	1,694073	1,056167
4	0,3	380,9809	0,5276133	1,758711	0,6748382	1,590474	1,082823
4	0,35	379,899	0,5611057	1,603159	0,6752219	1,497777	1,115597
4	0,4	379,0333	0,5902822	1,475706	0,6828629	1,415297	1,155105
4	0,45	378,3335	0,6165485	1,370108	0,6971836	1,342275	1,202107
4	0,5	377,764	0,6409937	1,281987	0,7180129	1,277961	1,257527
4	0,55	377,2998	0,6645212	1,20822	0,74551	1,22166	1,322485
